Identifier,totalProfitPercent,7dUSDProfit,30dUSDProfit,winrate_7d,winrate_30d,tags,directLink
2AKc2u9a7s98ANhYVy889oHNwtv7GZZHTnw99z4B4Db8,-8.52%,$-408.19,$-408.19,?,?,[],https://gmgn.ai/sol/address/2AKc2u9a7s98ANhYVy889oHNwtv7GZZHTnw99z4B4Db8
237wC6fDErWY8LLVWuYvHXUb4sSjX6U8S5Sn1xTrmrp9,29.65%,"$42,015.73","$53,717.46",46.70%,45.86%,[],https://gmgn.ai/sol/address/237wC6fDErWY8LLVWuYvHXUb4sSjX6U8S5Sn1xTrmrp9
24b2yChddXjbuBQHwMQiWKV4quQBvcG4VEX6af9ThxQy,9.20%,"$2,264.53","$1,270.36",?,?,[],https://gmgn.ai/sol/address/24b2yChddXjbuBQHwMQiWKV4quQBvcG4VEX6af9ThxQy
2EZeeF2mGLdHEzE4JRo3VWa7t2w2AX9qyPkZxpuxSBBY,28.86%,$-83.28,$-83.28,?,?,[],https://gmgn.ai/sol/address/2EZeeF2mGLdHEzE4JRo3VWa7t2w2AX9qyPkZxpuxSBBY
2cTXfSUDXfzSRmkojVbquiKqmmH4T6zNmWYq3cAr2snT,14.51%,$648.01,"$11,195.05",100.00%,82.61%,[],https://gmgn.ai/sol/address/2cTXfSUDXfzSRmkojVbquiKqmmH4T6zNmWYq3cAr2snT
28m1Dh8LayPRWfuxazgEwcTxtkzSsYR2bmzqChKyqXgn,12.20%,"$9,276.91","$9,276.91",44.71%,44.71%,[],https://gmgn.ai/sol/address/28m1Dh8LayPRWfuxazgEwcTxtkzSsYR2bmzqChKyqXgn
26d6zD1888ZkDoxDDGoqU2GEgud6f3Hop6o4N6BMfyTX,40.75%,"$10,314.23","$30,595.21",53.79%,58.59%,[],https://gmgn.ai/sol/address/26d6zD1888ZkDoxDDGoqU2GEgud6f3Hop6o4N6BMfyTX
2hLpyZuVEb7tRpKd8qTNPiwUv1oYKWiVu7Bt9fBzpaEZ,13.67%,"$4,278.66","$4,278.66",?,?,[],https://gmgn.ai/sol/address/2hLpyZuVEb7tRpKd8qTNPiwUv1oYKWiVu7Bt9fBzpaEZ
2dkk6ENtfGGh7sgYTWyGDLnjTKv8xgx89LzSbnqf8KeE,9.88%,$508.47,$508.47,45.83%,45.83%,[],https://gmgn.ai/sol/address/2dkk6ENtfGGh7sgYTWyGDLnjTKv8xgx89LzSbnqf8KeE
2WfpDwuSnFTMxYqeWR1ANo2hdms3if7NiZmfJ6Bf5oJp,13.12%,"$36,924.75","$68,979.01",?,?,[],https://gmgn.ai/sol/address/2WfpDwuSnFTMxYqeWR1ANo2hdms3if7NiZmfJ6Bf5oJp
2CQoK2zFChqi2fsJ9rWVRHan6RC1po9AbZ84BWRezTtr,1.11%,$168.05,$168.05,52.17%,52.17%,['fresh_wallet'],https://gmgn.ai/sol/address/2CQoK2zFChqi2fsJ9rWVRHan6RC1po9AbZ84BWRezTtr
2mjp3ZhSQKNFzgGzNNwCNjxA2RwrBmNaUsfBmRkNLX1m,23.48%,$-113.36,$-187.07,?,?,[],https://gmgn.ai/sol/address/2mjp3ZhSQKNFzgGzNNwCNjxA2RwrBmNaUsfBmRkNLX1m
2HsRqj7UTM9VyAySLHgJZ9k7mTYv9m21iXWKT6RvR4hE,7.07%,"$12,410.67","$43,169.30",?,?,[],https://gmgn.ai/sol/address/2HsRqj7UTM9VyAySLHgJZ9k7mTYv9m21iXWKT6RvR4hE
13jJRGTmHk4FMcc3L1JNum1D4B15GicJG6FqfVTmSpST,6.74%,"$16,333.34","$54,100.13",56.29%,56.79%,[],https://gmgn.ai/sol/address/13jJRGTmHk4FMcc3L1JNum1D4B15GicJG6FqfVTmSpST
2GhkSvv4u2shXd1nwotgX1xQKxndJsERAhdvkxTzRTjx,6.60%,$-55.16,$556.69,?,?,[],https://gmgn.ai/sol/address/2GhkSvv4u2shXd1nwotgX1xQKxndJsERAhdvkxTzRTjx
2HcMRFjcsPTvWDam4QjPgyRyLK58wZPp7SuD9mF4LDd7,-34.41%,"$-1,740.84","$-1,845.13",?,?,[],https://gmgn.ai/sol/address/2HcMRFjcsPTvWDam4QjPgyRyLK58wZPp7SuD9mF4LDd7
2ny2zB83hr3QiXW96TBb5LbYFA7nrwZ4h4XSccKknynS,7.04%,"$-2,041.84","$46,252.21",31.58%,47.37%,[],https://gmgn.ai/sol/address/2ny2zB83hr3QiXW96TBb5LbYFA7nrwZ4h4XSccKknynS
2tvWkzY9C7BxwaY24YrCTS5Tv8koWyugDp5dmcv5tCex,5.16%,"$2,542.76","$17,815.15",54.27%,49.22%,[],https://gmgn.ai/sol/address/2tvWkzY9C7BxwaY24YrCTS5Tv8koWyugDp5dmcv5tCex
31ML3FzjoXyjwvArqddrqiGm8VxvcPemAxDVCmEqtG5K,20.29%,$-241.14,$-386.80,66.67%,44.00%,[],https://gmgn.ai/sol/address/31ML3FzjoXyjwvArqddrqiGm8VxvcPemAxDVCmEqtG5K
2uoYXt4aTZpEUGVqyQZzUeDUFtqpqov2zQSmXbsULUCN,1.93%,$38.17,$-223.82,?,?,[],https://gmgn.ai/sol/address/2uoYXt4aTZpEUGVqyQZzUeDUFtqpqov2zQSmXbsULUCN
