Identifier,totalProfitPercent,7dUSDProfit,30dUSDProfit,winrate_7d,winrate_30d,tags,directLink
CSny89mZb8JCHoWSuLRvykZnJZyWTNKYNxvpqLBT5nPD,-2.61%,"$-1,539.03","$-4,187.25",24.11%,27.26%,[],https://gmgn.ai/sol/address/CSny89mZb8JCHoWSuLRvykZnJZyWTNKYNxvpqLBT5nPD
DEC53FLXx1Dp9Yx9WZTgb8cmkYfKs2gxDWy6rBkzDFhF,9.15%,$202.07,$50.47,?,?,[],https://gmgn.ai/sol/address/DEC53FLXx1Dp9Yx9WZTgb8cmkYfKs2gxDWy6rBkzDFhF
5pmZcm65onHGQy87CMSWeU8jirnQEwMGm1VZMmxVq86P,-38.62%,"$-1,245.84","$-5,170.89",?,?,[],https://gmgn.ai/sol/address/5pmZcm65onHGQy87CMSWeU8jirnQEwMGm1VZMmxVq86P
7XURCfraWRfNoNBk9wNqFmoWUdCGrDZXrGoWSc7WE5Nv,7.35%,"$3,272.23","$82,674.16",34.53%,39.45%,[],https://gmgn.ai/sol/address/7XURCfraWRfNoNBk9wNqFmoWUdCGrDZXrGoWSc7WE5Nv
CXQGKGi2GCQoTrmXTbdaq1CuhWvYyoJw7YA3LuhFuJBc,16.68%,"$3,880.38","$11,913.82",?,?,[],https://gmgn.ai/sol/address/CXQGKGi2GCQoTrmXTbdaq1CuhWvYyoJw7YA3LuhFuJBc
CDxWMRLGProgh2QDzQJfvPvK6RMfsQKUtCgoZNry4zP9,1.92%,$495.86,$495.86,48.00%,48.00%,[],https://gmgn.ai/sol/address/CDxWMRLGProgh2QDzQJfvPvK6RMfsQKUtCgoZNry4zP9
8DVWKDMGzQgf1P5Gwp1LYoCCgtLUDfe6pqZuWDSpLjc,-19.32%,$-67.81,"$-2,427.44",0.00%,12.50%,[],https://gmgn.ai/sol/address/8DVWKDMGzQgf1P5Gwp1LYoCCgtLUDfe6pqZuWDSpLjc
FXHt4cdYAxwPMA7CwKJ4Dd9K1JC9Hcj5FHzcs5K98po8,-4.38%,$-585.88,$-585.88,?,?,[],https://gmgn.ai/sol/address/FXHt4cdYAxwPMA7CwKJ4Dd9K1JC9Hcj5FHzcs5K98po8
7KochA4uimkHZXWRcPubhLtYVqdqJM2xzAma5iMSQzdT,6.88%,$399.72,"$11,997.20",38.41%,40.19%,[],https://gmgn.ai/sol/address/7KochA4uimkHZXWRcPubhLtYVqdqJM2xzAma5iMSQzdT
FLKBLTKyHjnPhnS2Voyw89QUuMGAYAo7uqZsiMVEUoHE,-1.25%,$-196.25,"$3,059.48",?,?,[],https://gmgn.ai/sol/address/FLKBLTKyHjnPhnS2Voyw89QUuMGAYAo7uqZsiMVEUoHE
Cdi6sZmBJybvujUPg5STqvqxR96wG9EU7F57FYjuRxuc,7.95%,$-290.81,$110.80,?,?,[],https://gmgn.ai/sol/address/Cdi6sZmBJybvujUPg5STqvqxR96wG9EU7F57FYjuRxuc
FTyWWMYr9EokXY2mDEVbNtkqxKAQt9jw5MLui92Mp4At,42.77%,$-17.29,$39.93,?,?,[],https://gmgn.ai/sol/address/FTyWWMYr9EokXY2mDEVbNtkqxKAQt9jw5MLui92Mp4At
FPVi15FoHQXv31S3iHXH3H5f9UNvntcwXfQ7NZiKpeJZ,-16.08%,"$-1,052.70","$-1,052.70",?,?,[],https://gmgn.ai/sol/address/FPVi15FoHQXv31S3iHXH3H5f9UNvntcwXfQ7NZiKpeJZ
CkAbhqy8YGAuNM9wFCGfzw9vkWDocAB7XV4PQZbqv2eQ,5.10%,"$8,295.31","$26,324.30",48.75%,49.40%,[],https://gmgn.ai/sol/address/CkAbhqy8YGAuNM9wFCGfzw9vkWDocAB7XV4PQZbqv2eQ
CeZyGKRDwGXTg2U5xYgK3mLM2k3idS4iY1LT6WYqDc4q,14.63%,"$1,419.34","$4,006.34",57.89%,45.54%,[],https://gmgn.ai/sol/address/CeZyGKRDwGXTg2U5xYgK3mLM2k3idS4iY1LT6WYqDc4q
CM8CdfmpBej77GDURijDm3pyfx7CbHCgCp69hnVTZFbm,-59.57%,$-402.69,$-402.69,?,?,[],https://gmgn.ai/sol/address/CM8CdfmpBej77GDURijDm3pyfx7CbHCgCp69hnVTZFbm
F1QUQtKDVwrJ3AzCJqo2qTSVRZ1fHKAFpXDcWbqLz5py,16.46%,"$2,918.15","$17,989.50",54.23%,53.45%,[],https://gmgn.ai/sol/address/F1QUQtKDVwrJ3AzCJqo2qTSVRZ1fHKAFpXDcWbqLz5py
FJYAgw9Xj31zo8SymiDDoyGvL6nNEHVaFbQrjjxLEcRg,7.01%,"$1,215.86","$3,799.90",?,?,[],https://gmgn.ai/sol/address/FJYAgw9Xj31zo8SymiDDoyGvL6nNEHVaFbQrjjxLEcRg
BvudWPdUxU2Fiw9b9qkTTD5Lw8FNfrv9fw1mZ1KFHApS,22.03%,$622.59,"$6,236.25",30.51%,34.78%,[],https://gmgn.ai/sol/address/BvudWPdUxU2Fiw9b9qkTTD5Lw8FNfrv9fw1mZ1KFHApS
C8DuRsMPznUbK8Y9zUrjMHkreodEwfQLgAjQohnxcFyo,7.66%,"$9,556.59","$28,511.88",?,?,[],https://gmgn.ai/sol/address/C8DuRsMPznUbK8Y9zUrjMHkreodEwfQLgAjQohnxcFyo
FRvYtXiZd1Gs1Z2W7ubtnr86uzMc7Wc4cn5uAKrJKnNH,32.89%,"$8,567.75","$36,523.07",73.58%,72.39%,[],https://gmgn.ai/sol/address/FRvYtXiZd1Gs1Z2W7ubtnr86uzMc7Wc4cn5uAKrJKnNH
5wcc13mXoyqe6qh2iHH5GFknojoJ7y13ZPx9K4NXTuo3,3.63%,"$5,714.51","$106,674.22",30.28%,32.49%,[],https://gmgn.ai/sol/address/5wcc13mXoyqe6qh2iHH5GFknojoJ7y13ZPx9K4NXTuo3
CNzU5mZ5ggGUSsQrmUnQWQ9DHGahJLRNggcHuYBJ3YhC,-1.79%,$107.70,$100.74,?,?,[],https://gmgn.ai/sol/address/CNzU5mZ5ggGUSsQrmUnQWQ9DHGahJLRNggcHuYBJ3YhC
CCqSGighjg1D2T7HqSZtGRUJZL42rPHjedGNM93LvvSn,11.15%,"$2,417.03","$4,516.21",?,?,[],https://gmgn.ai/sol/address/CCqSGighjg1D2T7HqSZtGRUJZL42rPHjedGNM93LvvSn
vxuBeepwxDpM2D4o6UoZVZkBQSTWEfp91Dcum1Sw3gq,-12.99%,$-443.98,"$-1,007.24",48.04%,46.53%,[],https://gmgn.ai/sol/address/vxuBeepwxDpM2D4o6UoZVZkBQSTWEfp91Dcum1Sw3gq
nTwhBRNNxxXcKR7F4Yi7g83fADzJiy3BXXv6epwyHeh,-13.81%,"$-3,255.11","$-4,265.45",31.75%,32.43%,[],https://gmgn.ai/sol/address/nTwhBRNNxxXcKR7F4Yi7g83fADzJiy3BXXv6epwyHeh
RgyXbqPzr2qqLJq8oRhZh4fFGuxPrPmysfiXqmjMET5,2.16%,$805.60,$718.97,?,?,[],https://gmgn.ai/sol/address/RgyXbqPzr2qqLJq8oRhZh4fFGuxPrPmysfiXqmjMET5
XGRQj7rcwu7mWSg2kvYqeGpEWWLEtdvmhCufqNR1eS2,14.79%,"$5,186.75","$14,247.60",59.46%,61.54%,[],https://gmgn.ai/sol/address/XGRQj7rcwu7mWSg2kvYqeGpEWWLEtdvmhCufqNR1eS2
ewKUDtQCxdYX8YQMBPTPc6qGiaX6PBF5ocDGLTy5DDg,7.81%,"$1,051.47","$1,795.92",39.53%,42.29%,[],https://gmgn.ai/sol/address/ewKUDtQCxdYX8YQMBPTPc6qGiaX6PBF5ocDGLTy5DDg
85CSEYtbwxHitUfQ2v5K2KREfTSGNn1cTgWxZ2KZjjFa,9.13%,$331.42,$893.07,?,?,[],https://gmgn.ai/sol/address/85CSEYtbwxHitUfQ2v5K2KREfTSGNn1cTgWxZ2KZjjFa
DU7bXDcDfGMqyp2zXmmzXvBRKssXcw4639p79WziEahv,24.70%,"$10,414.47","$13,990.42",?,?,[],https://gmgn.ai/sol/address/DU7bXDcDfGMqyp2zXmmzXvBRKssXcw4639p79WziEahv
6E5ebQHbejGGB9Wb5D9T1xcE9VgJX8mPMi13RVr1bo9b,15.18%,$115.92,$115.92,?,?,[],https://gmgn.ai/sol/address/6E5ebQHbejGGB9Wb5D9T1xcE9VgJX8mPMi13RVr1bo9b
b8iUZsRwdyEa2jEYfBuT3jM3v7zueaTuSBdiirtiC8U,-3.45%,"$-1,391.36","$-4,398.45",39.13%,35.40%,[],https://gmgn.ai/sol/address/b8iUZsRwdyEa2jEYfBuT3jM3v7zueaTuSBdiirtiC8U
ToGndKxr9B31xD3wyra9AtPhKVbJCrF1CAtZurLFHgW,26.37%,"$6,782.78","$25,506.10",37.81%,38.42%,[],https://gmgn.ai/sol/address/ToGndKxr9B31xD3wyra9AtPhKVbJCrF1CAtZurLFHgW
JASNTquz6YaRD3cQ23uhSBzEiXCjbNs6X749NbvvZftx,6.31%,$-704.97,"$7,631.32",42.59%,55.43%,[],https://gmgn.ai/sol/address/JASNTquz6YaRD3cQ23uhSBzEiXCjbNs6X749NbvvZftx
FVd9yxqsHe2n2prCVknAwJCqCvkWy9U6R3dp4g6QR31b,8.20%,$362.97,"$1,470.41",?,?,[],https://gmgn.ai/sol/address/FVd9yxqsHe2n2prCVknAwJCqCvkWy9U6R3dp4g6QR31b
DG9P3KEU6PjPB3JmuCiNh1Lp5KrGfXGgEJdJyS9eSkdz,8.03%,$-36.33,$-86.21,?,?,[],https://gmgn.ai/sol/address/DG9P3KEU6PjPB3JmuCiNh1Lp5KrGfXGgEJdJyS9eSkdz
U53gmRk5wv5XvFJbybj1bFS7UxkZ7vqZ6wAqTFQDPEa,7.14%,"$-1,856.51","$8,352.74",?,?,[],https://gmgn.ai/sol/address/U53gmRk5wv5XvFJbybj1bFS7UxkZ7vqZ6wAqTFQDPEa
S7fY2zn9hzXoN9jmXZv7AS6Y7a68G6k3tzd5DrsM9aH,-25.15%,$-257.72,$-257.72,?,?,[],https://gmgn.ai/sol/address/S7fY2zn9hzXoN9jmXZv7AS6Y7a68G6k3tzd5DrsM9aH
5zfKf5hcLVhMmoE1a213UinUuEE7xRTr61MZvB5sFy1b,3.35%,"$5,326.37","$5,380.41",41.03%,40.70%,[],https://gmgn.ai/sol/address/5zfKf5hcLVhMmoE1a213UinUuEE7xRTr61MZvB5sFy1b
T8LtHWi48wxkwQafvSfTSfh8ubLGMC7zcPYS6RCKxyB,-3.87%,$-136.84,$-136.84,?,?,[],https://gmgn.ai/sol/address/T8LtHWi48wxkwQafvSfTSfh8ubLGMC7zcPYS6RCKxyB
dexvcNUf31JyHkxcsceWpqGErhXe5Eu5QWLe993m1Pu,-0.58%,"$-2,857.18","$-4,553.67",44.24%,44.14%,[],https://gmgn.ai/sol/address/dexvcNUf31JyHkxcsceWpqGErhXe5Eu5QWLe993m1Pu
6EmfVzrWUkcTf8ngGS9JPBwu4AcWeKfqzfuj7XVfGmz5,-4.06%,"$-32,673.24","$-19,164.90",20.18%,21.38%,[],https://gmgn.ai/sol/address/6EmfVzrWUkcTf8ngGS9JPBwu4AcWeKfqzfuj7XVfGmz5
FQw2RU8YU9nC2VsDh813jyZKWUyby6yFKvpor7aWucru,3.62%,$-338.08,$647.42,32.69%,27.61%,[],https://gmgn.ai/sol/address/FQw2RU8YU9nC2VsDh813jyZKWUyby6yFKvpor7aWucru
M6EfgvAeYu61Hdxo76wiadNGvRG6JDmbF1xjSKDm63b,-19.06%,$-863.08,"$-1,461.03",?,?,[],https://gmgn.ai/sol/address/M6EfgvAeYu61Hdxo76wiadNGvRG6JDmbF1xjSKDm63b
8ADtPFyNPuSa8B2oaQjuQ6MywMhNXUUEKWEsCV7Exf1s,3.82%,$383.38,"$3,521.86",?,?,[],https://gmgn.ai/sol/address/8ADtPFyNPuSa8B2oaQjuQ6MywMhNXUUEKWEsCV7Exf1s
D3BAVPd5YJzhFGEjZNLfEhsADHf23mjntTj3Egc3j6aM,-0.94%,$217.57,$85.50,28.57%,28.00%,[],https://gmgn.ai/sol/address/D3BAVPd5YJzhFGEjZNLfEhsADHf23mjntTj3Egc3j6aM
CwRPc8LZqAQxEkxRUMqnUrTTf2wgcPCkbEdcTFvLd5eD,-4.42%,"$-1,476.91","$-1,476.91",31.16%,31.16%,[],https://gmgn.ai/sol/address/CwRPc8LZqAQxEkxRUMqnUrTTf2wgcPCkbEdcTFvLd5eD
DdGWAMpYGU2fB2wPKzKrQrPy9fEE6uMUBFomHmz54cJq,5.80%,"$3,134.28","$2,506.26",37.50%,35.29%,[],https://gmgn.ai/sol/address/DdGWAMpYGU2fB2wPKzKrQrPy9fEE6uMUBFomHmz54cJq
DLuV8rghqwUD4mRWBdE7yooCWyLcek76wcrmHc66xLmG,8.38%,"$-3,546.82","$38,613.96",10.89%,12.62%,[],https://gmgn.ai/sol/address/DLuV8rghqwUD4mRWBdE7yooCWyLcek76wcrmHc66xLmG
Eq6FwUHYFkxJkykHBiojCAhMuKzn5XtYDTjUN2dAE49d,-23.77%,"$-1,997.85","$-3,738.13",16.78%,17.51%,[],https://gmgn.ai/sol/address/Eq6FwUHYFkxJkykHBiojCAhMuKzn5XtYDTjUN2dAE49d
CHmCJobohTFU4UjzXxKjwFGNggyAgE698PynuZoojsJB,-3.28%,$-414.59,$-414.59,?,?,[],https://gmgn.ai/sol/address/CHmCJobohTFU4UjzXxKjwFGNggyAgE698PynuZoojsJB
DkTX2fCYjgFnku6BqvGheBJyXJcXNkG55NHhZk4YGE7w,2.44%,$-671.48,$-951.09,37.18%,33.17%,[],https://gmgn.ai/sol/address/DkTX2fCYjgFnku6BqvGheBJyXJcXNkG55NHhZk4YGE7w
