Identifier,totalProfitPercent,7dUSDProfit,30dUSDProfit,winrate_7d,winrate_30d,tags,directLink
EHQWU8NuW2JWbogR19kUrcrPAZVVBtuUo9BPfiEV3Vqz,71.33%,"$1,801.72","$16,205.46",76.47%,76.83%,[],https://gmgn.ai/sol/address/EHQWU8NuW2JWbogR19kUrcrPAZVVBtuUo9BPfiEV3Vqz
HozKDPakwXGE2sDf9PDqCQT5fzFGkRbSPEC77gGnWBkp,46.87%,$-4.90,"$22,085.41",50.00%,30.15%,[],https://gmgn.ai/sol/address/HozKDPakwXGE2sDf9PDqCQT5fzFGkRbSPEC77gGnWBkp
4aGXvHf6yjScoBiZuDSPqFa8W5jAvFxe8TJR3JRXBs8m,81.45%,$0.00,"$6,063.33",?,100.00%,[],https://gmgn.ai/sol/address/4aGXvHf6yjScoBiZuDSPqFa8W5jAvFxe8TJR3JRXBs8m
AYZLwZvgDHqm5ucryzBQJESP2AstEjrs5Yd1BhhVLMmz,83.48%,$0.00,"$10,964.56",?,63.64%,[],https://gmgn.ai/sol/address/AYZLwZvgDHqm5ucryzBQJESP2AstEjrs5Yd1BhhVLMmz
5q7Xwc2T57sK1DKU6zuwVXvMPsxqB2xrJ3T5AonFYtcY,198.52%,"$14,140.40","$144,821.16",72.00%,78.76%,[],https://gmgn.ai/sol/address/5q7Xwc2T57sK1DKU6zuwVXvMPsxqB2xrJ3T5AonFYtcY
NypLvRrVrDRwHEFEhFA2WgDkxkyHvJCWsLtrvV4dFKE,2635.14%,$0.00,"$15,992.35",?,100.00%,[],https://gmgn.ai/sol/address/NypLvRrVrDRwHEFEhFA2WgDkxkyHvJCWsLtrvV4dFKE
Hnd5aAZ3m6KrrdMXUC4fkJW1ErQbAjrNCF7uVYxgDjKZ,155.72%,"$8,245.24","$29,670.07",63.64%,63.41%,[],https://gmgn.ai/sol/address/Hnd5aAZ3m6KrrdMXUC4fkJW1ErQbAjrNCF7uVYxgDjKZ
AxLESn9Rgtjxr5GecKseL2p6NmdkfjQLydGRfQJwtwy5,34.38%,"$2,359.78","$13,868.45",37.78%,51.56%,[],https://gmgn.ai/sol/address/AxLESn9Rgtjxr5GecKseL2p6NmdkfjQLydGRfQJwtwy5
8gh73Gax4wDjEQo6YErJMKiSzh2qJf8dgUUgAjw7Y8kt,552.75%,"$30,297.13","$70,738.28",100.00%,85.71%,[],https://gmgn.ai/sol/address/8gh73Gax4wDjEQo6YErJMKiSzh2qJf8dgUUgAjw7Y8kt
BSwz97WtcDyEW6dC44hy2uxtLwhv52XnstuHrmuX8SU8,218.24%,"$2,580.89","$19,311.75",100.00%,90.00%,[],https://gmgn.ai/sol/address/BSwz97WtcDyEW6dC44hy2uxtLwhv52XnstuHrmuX8SU8
3LJ7BRKYnQT2d5USbxtB9UbhdxKyqTGKfyF6SW8P8RuT,67.40%,"$2,553.23","$20,007.23",88.24%,88.24%,[],https://gmgn.ai/sol/address/3LJ7BRKYnQT2d5USbxtB9UbhdxKyqTGKfyF6SW8P8RuT
5fGk4fEvrvxQxzYTX1zDKkLdp6JKscAy41UQBRivDiCd,16.06%,"$1,879.99","$89,163.11",33.33%,79.72%,[],https://gmgn.ai/sol/address/5fGk4fEvrvxQxzYTX1zDKkLdp6JKscAy41UQBRivDiCd
